RAJ2h,RAJ2m,RAJ2s,DEJ2d,DEJ2m,DEJ2s,dSph,Name,FeH,eFeH
00,59,21.5800,-33,42,57.900,Scl,1002473,-2.30,0.15
00,59,21.6600,-33,41,01.600,Scl,1002447,-2.04,0.12
00,59,23.8500,-33,42,59.100,Scl,1002888,-1.97,0.13
00,59,26.8700,-33,40,28.900,Scl,1003386,-1.30,0.11
00,59,27.1300,-33,43,42.100,Scl,1003505,-1.82,0.11
00,59,27.3400,-33,38,47.300,Scl,1003443,-1.62,0.11
00,59,27.6900,-33,40,35.400,Scl,1003537,-2.28,0.11
00,59,28.3000,-33,42,07.200,Scl,1003694,-1.63,0.11
00,59,28.7200,-33,38,56.800,Scl,1003702,-1.89,0.12
00,59,30.4400,-33,36,04.900,Scl,1003967,-2.66,0.13
00,59,30.5700,-33,37,13.100,Scl,1004020,-1.46,0.16
00,59,30.6200,-33,42,06.700,Scl,1004135,-2.09,0.12
00,59,30.9300,-33,36,49.900,Scl,1004084,-2.54,0.24
00,59,31.5300,-33,39,41.700,Scl,1004271,-1.98,0.17
00,59,31.9000,-33,40,38.200,Scl,1004360,-2.04,0.13
00,59,31.9600,-33,38,36.900,Scl,1004320,-2.12,0.13
00,59,32.7800,-33,36,10.900,Scl,1004448,-1.84,0.12
00,59,33.6400,-33,37,54.200,Scl,1004645,-1.22,0.12
00,59,33.7900,-33,39,26.900,Scl,1004711,-2.47,0.15
00,59,33.8200,-33,42,37.900,Scl,1004775,-1.26,0.11
00,59,34.0400,-33,36,15.300,Scl,1004692,-2.34,0.16
00,59,34.0900,-33,43,51.300,Scl,1004838,-1.59,0.11
00,59,34.2400,-33,43,18.700,Scl,1004861,-1.70,0.12
00,59,34.3100,-33,37,18.700,Scl,1004754,-1.61,0.13
00,59,35.2300,-33,37,31.100,Scl,1004931,-1.97,0.12
00,59,35.3700,-33,44,09.200,Scl,1005103,-1.22,0.11
00,59,36.0900,-33,37,08.900,Scl,1005099,-2.02,0.12
00,59,36.9600,-33,41,55.700,Scl,1005366,-1.38,0.11
00,59,37.1000,-33,43,06.200,Scl,1005429,-2.58,0.12
00,59,37.5700,-33,43,33.300,Scl,1005527,-1.28,0.11
00,59,37.6200,-33,40,21.700,Scl,1005472,-2.11,0.11
00,59,38.0500,-33,40,32.200,Scl,1005565,-1.81,0.11
00,59,38.1200,-33,35,07.900,Scl,1005457,-1.40,0.11
00,59,38.4000,-33,45,10.500,Scl,1005745,-1.59,0.11
00,59,38.4200,-33,37,27.800,Scl,1005561,-2.05,0.12
00,59,38.6400,-33,43,59.400,Scl,1005765,-1.76,0.12
00,59,38.9400,-33,36,13.500,Scl,1005651,-1.46,0.11
00,59,40.3100,-33,39,44.800,Scl,1005983,-1.79,0.12
00,59,40.3300,-33,36,06.400,Scl,1005921,-1.59,0.11
00,59,40.4200,-33,45,51.900,Scl,1006155,-2.21,0.14
00,59,40.4600,-33,35,53.800,Scl,1005940,-2.51,0.12
00,59,40.7000,-33,41,16.600,Scl,1006107,-2.20,0.12
00,59,40.7700,-33,41,29.300,Scl,1006118,-2.44,0.15
00,59,41.0300,-33,37,45.000,Scl,1006091,-2.32,0.12
00,59,41.5500,-33,40,29.500,Scl,1006241,-1.34,0.13
00,59,41.7500,-33,39,12.200,Scl,1006240,-1.27,0.14
00,59,42.1300,-33,41,37.600,Scl,1006374,-1.83,0.13
00,59,42.5600,-33,38,16.700,Scl,1006400,-1.16,0.11
00,59,42.7100,-33,43,54.900,Scl,1006544,-1.44,0.12
00,59,43.2300,-33,37,01.500,Scl,1006511,-1.37,0.12
00,59,43.8900,-33,35,09.900,Scl,1006600,-1.12,0.12
00,59,44.3200,-33,33,41.600,Scl,1006649,-2.29,0.12
00,59,44.4100,-33,43,00.300,Scl,1006833,-1.40,0.11
