#  
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-05-13T09:42:01 [V7.33.3]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO service_protocol=ASU   IVOID of the protocol through which the data was retrieved
#INFO request_date=2024-05-13T09:42:01   Query execution date
#INFO request=https://vizier.cds.unistra.fr/viz-bin/asu-txt?-oc.form=sexa&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/490/2219/table1&-order=I&-out=[M/H]c&-out=[Ba/Fe]1&-out=[Ba/Fe]2&-out=[Sr/Fe]1&-out=[Sr/Fe]2&   Full request URL (POST)
#INFO contact=cds-question@unistra.fr   Email or URL to contact publisher
#INFO server_software=7.33.3   Software version
#INFO publisher=CDS   Data centre that produced the VOTable
#RESOURCE=yCat_74902219
#Name: J/MNRAS/490/2219
#Title: s-process enhanced stars in the LAMOST survey (Norfolk+, 2019)
#INFO ivoid=ivo://cds.vizier/j/mnras/490/2219     IVOID of underlying data collection     
#INFO creator=Norfolk B.J.     First author or institution     
#INFO cites=bibcode:2019MNRAS.490.2219N     Article or Data origin sources     
#INFO original_date=2019     Year of the article publication     
#INFO reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/490/2219     Dataset landing page     
#INFO publication_date=2023-05-04     Date of first publication in the data centre     
#INFO rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html     Licence URI     
#Table J_MNRAS_490_2219_table1:
#Name: J/MNRAS/490/2219/table1
#Title: Properties of 895 s-process-rich candidates
#---Details of Columns:
#    [M/H]c ([-])   (F10.7) Metallicity from Ho et al. (2017ApJ...836....5H) (1) [ucd=phys.abund.Z]
#    [Ba/Fe]1 ([-]) (F9.6)  Ba/Fe abundance ratio for the 4554{AA} line [ucd=phys.abund]
#    [Ba/Fe]2 ([-]) (F9.6)  Ba/Fe abundance ratio for the 4934{AA} line [ucd=phys.abund]
#    [Sr/Fe]1 ([-]) (F9.6)  Sr/Fe abundance ratio for the 4077{AA} line [ucd=phys.abund]
#    [Sr/Fe]2 ([-]) (F9.6)  Sr/Fe abundance ratio for the 4215{AA} line [ucd=phys.abund]
#---------- --------- --------- --------- ---------
#[M         [Ba/F     [Ba/F     [Sr/F     [Sr/F    
#/H]c ([-]) e]1 ([-]) e]2 ([-]) e]1 ([-]) e]2 ([-])
#---------- --------- --------- --------- ---------
-0.6324086  1.033456  1.040782 -0.217940 -0.032071
-0.4712150  0.928020  0.884909  0.770826 -0.134825
-0.3789368  0.961452  0.835972  0.839880  0.508562
-0.6837055  1.024854  1.016042 -0.137894 -0.055445
 0.0032767  0.817778  0.834397  0.952636  1.272984
-0.7867987  1.019975  1.027567  0.189821  1.274047
-0.3168614  1.011999  1.000000  0.783911 -0.062524
-0.6362149  1.041124  1.041523  0.900494 -0.054999
-0.7696974  1.030927  1.046009  0.940565  0.885441
-0.6235531  1.006164  1.000000  0.797924  0.189888
-0.6248307  1.143667  1.111984  0.900070  0.139697
-0.5360002  1.013794  1.010213  0.798697 -0.082342
-0.5263500  1.025397  0.958306  0.970198  0.464323
-0.1478608  0.826661  0.840403  0.735585 -0.119202
-0.5962016  0.988591  0.841921  0.917395  0.355024
-0.6254672  1.039346  1.119214 -0.157269 -0.068897
-0.5785443  1.002860  0.926001  0.616869 -0.044148
-0.2860381  1.019871  0.985531  0.812169 -0.067180
-0.5444104  1.018831  1.003897  0.763051 -0.037658
-0.2233229  0.983120  0.939564  0.776443  0.835271
-0.4886277  0.990805  0.962514  0.809166  0.902792
-0.2701563  0.896875  1.014143  1.033496  0.248749
-0.0052419  0.867811  0.846880  0.897437  0.796351
-0.2854232  1.014140  1.022572  0.922051  0.755045
-0.8139958  1.090518  1.060460  0.659196 -0.035721
-0.2566916  1.021158  0.843639  0.896526  0.891389
-0.6541969  1.020080  1.035101  0.890492  0.542063
-0.1815687  0.876504  0.790075  0.906233  0.809214
-0.3339695  0.940246  1.008759 -0.196488 -0.110847
-0.4592353  1.144591  1.173733  1.025036  0.819628
-0.4735533  0.940949  1.044574  1.029433 -0.007650
-0.1920274  0.978666  0.973616 -0.003191  0.954415
-0.7999438  1.047709  1.041099  0.828173  0.505236
-0.3734862  0.973751  0.842771  0.871850  0.630457
-0.7559137  1.021446  1.010783 -0.072735 -0.052421
-0.4587484  1.064160  1.044121  0.751201  0.298163
-0.4913140  1.009452  1.042815  0.857285  0.535642
-0.5137482  1.015974  0.931239  0.812631 -0.066743
-0.2756433  0.818414  0.779134  0.982745  0.917245
-0.4886616  1.055268  1.060053  0.736582 -0.087406
-0.5032456  1.008431  1.065015 -0.167901 -0.101423
-1.0047528  1.011173  1.037304  0.942681 -0.239893
-0.6233161  0.955900  0.941672 -0.034621 -0.077932
-0.4040181  1.040542  0.974015  0.817216  0.822867
-0.8573984  1.029901  1.020318  0.752895 -0.102351
-0.7028455  1.010007  1.023191  1.003771  0.758235
-0.9012932  1.067352  1.038273  0.712122 -0.095625
-0.0176757  0.846279  1.043329  0.749419  0.725258
-0.3830762 -0.037944 -0.125838  0.940980  0.888507
-0.0191786 -0.129235 -0.088800  0.839927  0.888823
 0.0202857 -0.084004 -0.084100  0.804742  0.825703
 0.0515897 -0.004426 -0.146033  0.799353  0.797442
-0.0305131 -0.134698 -0.036801  0.766209  0.785433
 0.0161601  0.259151 -0.022045  0.822942  0.792217
 0.1137780 -0.108726 -0.024170  0.610506  0.791255
-0.2959865  0.826081  0.750000  1.054627  1.019119
 0.2244556  0.046479 -0.027116  0.815315  0.589389
-0.3147764  0.849963  0.082415  0.916261  0.848188
-0.0980959  0.808534 -0.145449  0.778727  0.875866
-0.0128666 -0.046538 -0.195672  0.781266  0.816313
 0.0145897 -0.025255 -0.126180  0.777468  0.296489
-0.2401336  0.558250 -0.069283  1.039962  1.033614
-0.3811834 -0.076075 -0.143909  0.777523  0.862047
-0.2757285 -0.116859 -0.128597  0.777482  0.857049
 0.2820030 -0.010409 -0.052971  0.817957  0.821248
 0.2369097 -0.050852 -0.048572  0.784805  0.816671
-0.1521558 -0.092425  0.664465  1.046162  1.039157
-0.1769163 -0.186820 -0.028018  0.780234  0.649652
 0.0475469 -0.072446 -0.058613  0.735345  0.830064
-0.1592920 -0.115370 -0.161167  0.980346  0.806572
-0.3446588  1.023055  0.753531  1.022619  0.881746
-0.2217483 -0.019041 -0.126164  0.763461  0.810723
-0.1755906 -0.225140 -0.008897  0.857109  0.790732
 0.1788352 -0.123044 -0.056715  0.763454  0.773553
-0.0403589 -0.035135 -0.172603  0.782435  0.791972
-0.3660417 -0.098449 -0.112170  0.590652  0.740193
-0.0143786 -0.099575 -0.209385  0.760372  0.733989
-0.2042642  0.779779  0.218070  0.815479  0.914409
-0.0312168  0.761492 -0.027174  0.904237  0.899038
-0.0772113 -0.063459 -0.074685  0.642414  0.755101
 0.1983258 -0.112968 -0.039826  0.770112  0.775358
 0.0951863 -0.072062 -0.087540  0.831277  0.864468
-0.3210360 -0.008489 -0.196911  0.908263  0.992675
-0.2784534 -0.171263 -0.008706  0.838113  0.769167
